filename	pheno	n_total	n_cases	n_ctrls	publication	ancestry	finngen_phenocode	effect_type	variant	chrom	pos	effect_allele	other_allele	effect	pval	build
Tachmazidou_30664745_HIPOA.txt.gz	hip_osteoarthritis	393873	15704	378169	https://www.nature.com/articles/s41588-018-0327-1	European	M13_ARTHTROSIS_COX	BETA	variant	chromosome	pos	Allele1	Allele2	Effect	P-value	hg19
Tachmazidou_30664745_KNEEOA.txt.gz	knee_osteoarthritis	403124	24955	378169	https://www.nature.com/articles/s41588-018-0327-1	European	M13_ARTHROSIS_KNEE	BETA	variant	chromosome	pos	Allele1	Allele2	Effect	P-value	hg19
BMD_v3_SumStats.txt.gz	Bone_mineral_density	394929	394929	394929	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0200785	European	M13_OSTEOPOROSIS	BETA	SNP	CHR	BP	ALLELE1	ALLELE0	BETA	P_BOLT_LMM	hg19
anno.CLEANED.MVP.EUR.VTE.results.EQC.tbl.gz	Venous_thromboembolism	650119	26066	624053	https://www.nature.com/articles/s41588-019-0519-3	Multi	I9_VTE	BETA	ID	CHROM	POS	EFFECT_ALLELE	OTHER_ALLELE	BETA	PVAL	hg19
GCST90011770_buildGRCh37.tsv.gz	Glaucoma_Gharahkhani_2021	383500	34179	349321	https://www.nature.com/articles/s41467-020-20851-4	Trans-ancestry	H7_GLAUCOMA	BETA	variant_id	chromosome	base_pair_location	effect_allele	other_allele	beta	p_value	hg19
Hysi_et_al_Refractive_error_NatGenet_2020_beta_se.txt.gz	Refractive_error_and_myopia	542934	NA	NA	https://www.nature.com/articles/s41588-020-0599-0	European	H7_MYOPIA	BETA	MarkerName	NA	NA	Allele2	Allele1	beta	P-value	hg19
ALS_sumstats_EUR_only.txt.gz	ALS_Rheenen_2021	138086	27205	110881	https://www.nature.com/articles/s41588-021-00973-1	European	G6_ALS	BETA	rsid	chromosome	base_pair_location	effect_allele	other_allele	beta	p_value	hg19
discovery_metav3.0.meta.gz	Multiple_Sclerosis	41505	14802	26703	https://pubmed.ncbi.nlm.nih.gov/31604244/	European	G6_MS	OR	SNP	CHR	BP	A1	A2	OR	P	hg19
HERMES_Jan2019_HeartFailure_summary_data.txt.gz	heart_failure	977323	47309	930014	https://cvd.hugeamp.org/dinspector.html?dataset=GWAS_HERMES_eu	Trans-ethnic	I9_HEARTFAIL	BETA	SNP	CHR	BP	A1	A2	b	p	hg19
CKD_overall_ALL_JW_20180223_nstud30.dbgap.txt.gz	chronic_kidney_disease	480698	41395	439303	https://ckdgen.imbi.uni-freiburg.de/	Trans-ethnic	N14_CHRONKIDNEYDIS	BETA	RSID	Chr	Pos_b37	Allele1	Allele2	Effect	P-value	hg37
netherlands_total.fastGWA.gz	netherlands_total_cost	16726	NA	NA	https://pubmed.ncbi.nlm.nih.gov/34213412/	EUR	NA	BETA	SNP	CHR	POS	A1	A2	beta	p	hg19
netherlands_gp.fastGWA.gz	netherlands_gp_cost	16726	NA	NA	https://pubmed.ncbi.nlm.nih.gov/34213412/	EUR	NA	BETA	SNP	CHR	POS	A1	A2	beta	p	hg19
netherlands_hospital.fastGWA.gz	netherlands_hospital_cost	16726	NA	NA	https://pubmed.ncbi.nlm.nih.gov/34213412/	EUR	NA	BETA	SNP	CHR	POS	A1	A2	beta	p	hg19
netherlands_pharmacy.fastGWA.gz	netherlands_pharmacy_cost	16726	NA	NA	https://pubmed.ncbi.nlm.nih.gov/34213412/	EUR	NA	BETA	SNP	CHR	POS	A1	A2	beta	p	hg19
GCST90027158_buildGRCh38.tsv.gz	alzheimer	11326	677663	688989	"https://www.nature.com/articles/s41588-022-01024-z,WARNING:FINNGEN_SAMPLES_INCLUDED"	"EUR,FIN,Trans-ethnic"	G6_ALZHEIMER	BETA	variant_id	chromosome	base_pair_location	effect_allele	other_allele	beta	p_value	hg38
